control_record_id,path,record_type,authority_status,owner,validation_contract_id,allowed_writers,allowed_readers,related_agentjob_id,supersedes,source_hash,last_validated_at,notes
ctrl_selfhost_continue_kernel_completion,control_records/completions/completion_receipt.example.v0_2.yaml,completion_receipt_v0_2,controlled,control_loop,contract_completion_receipt_v0_2,control_loop_engineer,all_agents,AJ-P1-SELFHOST-CONTINUE-KERNEL-001,,pending,pending,Operational completion receipt for continue kernel finalization
ctrl_selfhost_continue_kernel_handoff,control_records/handoffs/handoff.example.v0_2.yaml,handoff_v0_2,controlled,control_loop,contract_handoff_v0_2,control_loop_engineer,all_agents,AJ-P1-SELFHOST-CONTINUE-KERNEL-001,,pending,pending,Operational handoff after continue kernel finalization
ctrl_selfhost_continue_kernel_state_snapshot,control_records/state_snapshots/state_snapshot.example.v0_2.yaml,state_snapshot,controlled,control_loop,contract_state_snapshot,control_loop_engineer,all_agents,AJ-P1-SELFHOST-CONTINUE-KERNEL-001,,pending,pending,Bounded state snapshot after continue kernel finalization
ctrl_boundary_validators_agentjob,control_records/agentjobs/AJ-P1-BOUNDARY-VALIDATORS-001.yaml,agentjob_v0_2,controlled,control_loop,contract_agentjob_v0_2,validator_engineer,all_agents,AJ-P1-BOUNDARY-VALIDATORS-001,,pending,pending,Operational AgentJob for Phase 7 boundary and diff validators
ctrl_derivative_generators_agentjob,control_records/agentjobs/AJ-P1-DERIVATIVE-GENERATORS-001.yaml,agentjob_v0_2,controlled,control_loop,contract_agentjob_v0_2,derivative_generator_engineer,all_agents,AJ-P1-DERIVATIVE-GENERATORS-001,,pending,pending,Operational AgentJob for Phase 8 generated derivative generators
ctrl_continue_skills_agentjob,control_records/agentjobs/AJ-P1-CONTINUE-SKILLS-001.yaml,agentjob_v0_2,controlled,skill_governance,contract_agentjob_v0_2,skill_surface_engineer,all_agents,AJ-P1-CONTINUE-SKILLS-001,,pending,pending,Operational AgentJob for Phase 9 continue and source-first memory skill surfaces
ctrl_selfhost_acceptance_agentjob,control_records/agentjobs/AJ-P1-SELFHOST-ACCEPTANCE-001.yaml,agentjob_v0_2,controlled,control_loop,contract_agentjob_v0_2,acceptance_engineer,all_agents,AJ-P1-SELFHOST-ACCEPTANCE-001,,pending,2026-07-06T00:00:00Z,Operational AgentJob for Phase 10 self-hosting acceptance
ctrl_selfhost_acceptance_completion,control_records/completions/RECEIPT-P1-SELFHOST-ACCEPTANCE-001.yaml,completion_receipt_v0_2,controlled,control_loop,contract_completion_receipt_v0_2,acceptance_engineer,all_agents,AJ-P1-SELFHOST-ACCEPTANCE-001,,pending,2026-07-06T00:00:00Z,Acceptance completion receipt for self-hosting memory and continue plan
ctrl_selfhost_acceptance_handoff,control_records/handoffs/HANDOFF-P1-SELFHOST-ACCEPTANCE-001.yaml,handoff_v0_2,controlled,control_loop,contract_handoff_v0_2,acceptance_engineer,all_agents,AJ-P1-SELFHOST-ACCEPTANCE-001,,pending,2026-07-06T00:00:00Z,Acceptance handoff closing the self-hosting memory and continue plan
ctrl_selfhost_acceptance_memory_preflight,control_records/memory_preflights/MEMPREFLIGHT-P1-SELFHOST-ACCEPTANCE-001.yaml,memory_preflight_receipt,controlled,source_first_memory,contract_memory_preflight_receipt,acceptance_engineer,all_agents,AJ-P1-SELFHOST-ACCEPTANCE-001,,pending,2026-07-06T00:00:00Z,Memory preflight receipt for Phase 10 acceptance
ctrl_runtime_skill_reconciliation_agentjob,control_records/agentjobs/AJ-SFADEV-05-RUNTIME-SKILL-RECONCILIATION-001.yaml,agentjob_v0_2,controlled,skill_governance,contract_agentjob_v0_2,documentation_librarian,all_agents,AJ-SFADEV-05-RUNTIME-SKILL-RECONCILIATION-001,,pending,2026-07-07T03:11:28Z,Operational AgentJob for all-recommendations runtime skill reconciliation
ctrl_runtime_skill_reconciliation_completion,control_records/completions/RECEIPT-SFADEV-05-RUNTIME-SKILL-RECONCILIATION-001.yaml,completion_receipt_v0_2,controlled,skill_governance,contract_completion_receipt_v0_2,documentation_librarian,all_agents,AJ-SFADEV-05-RUNTIME-SKILL-RECONCILIATION-001,,pending,2026-07-07T03:11:28Z,Completion receipt for all-recommendations runtime skill reconciliation
ctrl_runtime_skill_reconciliation_handoff,control_records/handoffs/HANDOFF-SFADEV-05-RUNTIME-SKILL-RECONCILIATION-001.yaml,handoff_v0_2,controlled,skill_governance,contract_handoff_v0_2,documentation_librarian,all_agents,AJ-SFADEV-05-RUNTIME-SKILL-RECONCILIATION-001,,pending,2026-07-07T03:11:28Z,Handoff for all-recommendations runtime skill reconciliation
ctrl_runtime_skill_reconciliation_memory_preflight,control_records/memory_preflights/MEMPREFLIGHT-SFADEV-05-RUNTIME-SKILL-RECONCILIATION-001.yaml,memory_preflight_receipt,controlled,source_first_memory,contract_memory_preflight_receipt,documentation_librarian,all_agents,AJ-SFADEV-05-RUNTIME-SKILL-RECONCILIATION-001,,pending,2026-07-07T03:11:28Z,Memory preflight receipt for all-recommendations runtime skill reconciliation
ctrl_prd_integration_director_decision,control_records/director_decisions/DDR-SFADEV-01-PRD-INTEGRATION-001.yaml,director_decision,controlled,implementation_initialization,contract_director_decision,system_director,all_agents,AJ-SFADEV-01-PRD-INTEGRATION-001,,pending,2026-07-07T03:28:46Z,Director decision selecting the all-recommendations PRD integration AgentJob
ctrl_prd_integration_agentjob,control_records/agentjobs/AJ-SFADEV-01-PRD-INTEGRATION-001.yaml,agentjob_v0_2,controlled,implementation_initialization,contract_agentjob_v0_2,system_engineer,all_agents,AJ-SFADEV-01-PRD-INTEGRATION-001,,pending,2026-07-07T03:28:46Z,Operational AgentJob for all-recommendations PRD integration
ctrl_prd_integration_memory_preflight,control_records/memory_preflights/MEMPREFLIGHT-SFADEV-01-PRD-INTEGRATION-001.yaml,memory_preflight_receipt,controlled,source_first_memory,contract_memory_preflight_receipt,system_engineer,all_agents,AJ-SFADEV-01-PRD-INTEGRATION-001,,pending,2026-07-07T03:28:46Z,Memory preflight receipt for all-recommendations PRD integration
ctrl_prd_integration_completion,control_records/completions/RECEIPT-SFADEV-01-PRD-INTEGRATION-001.yaml,completion_receipt_v0_2,controlled,implementation_initialization,contract_completion_receipt_v0_2,system_engineer,all_agents,AJ-SFADEV-01-PRD-INTEGRATION-001,,pending,2026-07-07T03:28:46Z,Completion receipt for all-recommendations PRD integration
ctrl_prd_integration_handoff,control_records/handoffs/HANDOFF-SFADEV-01-PRD-INTEGRATION-001.yaml,handoff_v0_2,controlled,implementation_initialization,contract_handoff_v0_2,system_engineer,all_agents,AJ-SFADEV-01-PRD-INTEGRATION-001,,pending,2026-07-07T03:28:46Z,Handoff for all-recommendations PRD integration
