skill_id,local_path,source_repo,source_path,family,adaptation_status,lifecycle_status,last_reviewed,notes
prd-to-implementation-plan,skills/core/prd-to-implementation-plan,https://github.com/AngryOwlAI/ai-skills-for-sys,skills/prd-to-implementation-plan,implementation_planning,adapter_shell,adapter_shell,2026-07-04,"Phase 1 adapter shell, exact upstream adaptation pending."
skill-import-generalizer,skills/core/skill-import-generalizer,https://github.com/AngryOwlAI/ai-skills-for-sys,.codex/skills/skill-import-generalizer,skill_library_maintenance,adapter_shell,adapter_shell,2026-07-04,"Phase 1 adapter shell, exact upstream adaptation pending."
technical-writing-quality-gate,skills/core/technical-writing-quality-gate,https://github.com/AngryOwlAI/ai-skills-for-sys,skills/technical-writing-quality-gate,technical_writing_verification,adapter_shell,adapter_shell,2026-07-04,"Phase 1 adapter shell, exact upstream adaptation pending."
continue,skills/core/continue,local,Sys4AI/skills/core/continue,continuation_control,scaffold_template,product_scaffold_reference,2026-07-06,Generic product scaffold skill with active runtime adaptation in .agents/skills/continue.
source-first-memory,skills/core/source-first-memory,local,Sys4AI/skills/core/source-first-memory,source_first_memory,scaffold_template,product_scaffold_reference,2026-07-06,Generic product scaffold skill with active runtime adaptation in .agents/skills/source-first-memory.
role-catalog-governance,skills/core/role-catalog-governance,local,.agents/skills/role-catalog-governance,role_governance,adapter_shell,adapter_shell,2026-07-07,Core skill scaffold batch 1 product reference surface.
system-layer-classifier,skills/core/system-layer-classifier,local,.agents/skills/system-layer-classifier,system_layer_governance,adapter_shell,adapter_shell,2026-07-07,Core skill scaffold batch 1 product reference surface.
artifact-contract-governance,skills/core/artifact-contract-governance,local,.agents/skills/artifact-contract-governance,artifact_governance,adapter_shell,adapter_shell,2026-07-07,Core skill scaffold batch 1 product reference surface.
traceability-matrix-engine,skills/core/traceability-matrix-engine,local,.agents/skills/traceability-matrix-engine,traceability_governance,adapter_shell,adapter_shell,2026-07-07,Core skill scaffold batch 1 product reference surface.
director-decision-governor,skills/core/director-decision-governor,local,.agents/skills/director-decision-governor,decision_governance,adapter_shell,adapter_shell,2026-07-07,Core skill scaffold batch 1 product reference surface.
source-authority-auditor,skills/core/source-authority-auditor,local,.agents/skills/source-authority-auditor,source_authority,adapter_shell,adapter_shell,2026-07-07,Core skill scaffold batch 1 product reference surface.
context-window-and-handoff-manager,skills/core/context-window-and-handoff-manager,local,.agents/skills/context-window-and-handoff-manager,context_handoff,adapter_shell,adapter_shell,2026-07-07,Core skill scaffold batch 1 product reference surface.
verification-validation-planner,skills/core/verification-validation-planner,local,.agents/skills/verification-validation-planner,verification_planning,adapter_shell,adapter_shell,2026-07-07,Core skill scaffold batch 2 product reference surface.
assurance-case-builder,skills/core/assurance-case-builder,local,.agents/skills/assurance-case-builder,assurance_case,adapter_shell,adapter_shell,2026-07-07,Core skill scaffold batch 2 product reference surface.
threat-model-and-permission-scope,skills/core/threat-model-and-permission-scope,local,.agents/skills/threat-model-and-permission-scope,safety_security_privacy,adapter_shell,adapter_shell,2026-07-07,Core skill scaffold batch 2 product reference surface.
evaluation-harness-designer,skills/core/evaluation-harness-designer,local,.agents/skills/evaluation-harness-designer,evaluation_design,adapter_shell,adapter_shell,2026-07-07,Core skill scaffold batch 2 product reference surface.
baseline-change-manager,skills/core/baseline-change-manager,local,.agents/skills/baseline-change-manager,change_control,adapter_shell,adapter_shell,2026-07-07,Core skill scaffold batch 2 product reference surface.
agentjob-task-packet-author,skills/core/agentjob-task-packet-author,local,.agents/skills/agentjob-task-packet-author,agentjob_authoring,adapter_shell,adapter_shell,2026-07-07,Core skill scaffold batch 2 product reference surface.
operations-and-maintenance-planner,skills/core/operations-and-maintenance-planner,local,.agents/skills/operations-and-maintenance-planner,operations_maintenance,adapter_shell,adapter_shell,2026-07-07,Core skill scaffold batch 2 product reference surface.
project-ontology-and-glossary,skills/core/project-ontology-and-glossary,local,.agents/skills/project-ontology-and-glossary,ontology_glossary,adapter_shell,adapter_shell,2026-07-07,Core skill scaffold batch 2 product reference surface.
domain-pack-router,skills/core/domain-pack-router,local,.agents/skills/domain-pack-router,domain_routing,adapter_shell,adapter_shell,2026-07-07,Core skill scaffold batch 2 product reference surface.
interface-and-integration-discovery,skills/core/interface-and-integration-discovery,local,.agents/skills/interface-and-integration-discovery,interface_discovery,adapter_shell,adapter_shell,2026-07-07,Core skill scaffold batch 2 product reference surface.
requirements-discovery-governor,skills/core/requirements-discovery-governor,local,.agents/skills/requirements-discovery-governor,discovery_governance,adapter_shell,adapter_shell,2026-07-07,Core skill scaffold batch 2 product reference surface.
