crosswalk_id,role_id,skill_id,binding_type,required_when,system_layer_scope,invocation_policy,authority_status,evidence_path,source_hash,last_validated_at,notes
cross_system_director_system_layer_classifier_req,system_director,system-layer-classifier,required,before mutating controlled authority,development_system;framework_product;target_system_template;target_system_instance,use when proposal exists or skill is active,controlled,implementation_plans/Sys4AI-dev_all_recommendations_implementation_plan.md,pending,pending,Future system layer classifier proposal.
cross_system_director_role_catalog_governance_req,system_director,role-catalog-governance,required,when role catalog governance is needed,development_system;framework_product;target_system_template;target_system_instance,use when role registry or role-skill crosswalk changes,controlled,implementation_plans/Sys4AI-dev_all_recommendations_implementation_plan.md,pending,2026-07-07,Active runtime role catalog governance skill binding.
cross_control_loop_agentjob_planner_codex_usage_metrics_req,control_loop_agentjob_planner,codex-usage-metrics,required,when continuation metrics are recorded,development_system;framework_product,use for context and token accounting,controlled,implementation_plans/self_hosting_boundary_decision_record.md,pending,pending,Active runtime metrics skill binding.
cross_control_loop_agentjob_planner_context_window_handoff_manager_req,control_loop_agentjob_planner,context-window-and-handoff-manager,required,when resumable handoffs or context checkpoints are needed,development_system;framework_product;target_system_template;target_system_instance,use for context checkpoint and handoff management,controlled,implementation_plans/Sys4AI-dev_all_recommendations_implementation_plan.md,pending,2026-07-07,Active runtime context handoff skill binding.
cross_existing_system_analyst_domain_grilling_with_docs_req,existing_system_analyst,domain-grilling-with-docs,required,when brownfield evidence needs domain stress testing,target_system_instance,use for documentation grounded domain review,controlled,implementation_plans/Sys4AI-dev_all_recommendations_implementation_plan.md,pending,pending,Active runtime domain documentation skill binding.
cross_domain_specialist_domain_grilling_with_docs_context_45_rec,domain_specialist,domain-grilling-with-docs-context-45,recommended,when long documentation review sessions need checkpointing,target_system_instance,use for long domain documentation sessions,controlled,implementation_plans/Sys4AI-dev_all_recommendations_implementation_plan.md,pending,pending,Active runtime long session domain skill binding.
cross_system_architect_plantuml_diagrams_req,system_architect,plantuml-diagrams,required,when PlantUML diagrams are needed,framework_product;target_system_template;target_system_instance,use for source controlled PlantUML diagrams,controlled,PRDs/Sys4AI_phase-0_product_system_design_prd.md,pending,pending,Active runtime PlantUML diagram skill binding.
cross_user_wants_elicitor_system_definition_interview_opt,user_wants_elicitor,system-definition-interview,optional,when lightweight discovery is sufficient,framework_product;target_system_template;target_system_instance,use only when context 45 checkpointing is not needed,controlled,implementation_plans/Sys4AI-dev_all_recommendations_implementation_plan.md,pending,pending,Active runtime base system definition skill binding.
cross_requirements_verifier_verification_validation_planner_opt,requirements_verifier,verification-validation-planner,optional,when validation evidence planning is needed,framework_product;target_system_template;target_system_instance,use when acceptance evidence needs planning,controlled,implementation_plans/Sys4AI-dev_all_recommendations_implementation_plan.md,pending,2026-07-07,Active runtime verification planner skill binding.
cross_verification_engineer_verification_validation_planner_req,verification_engineer,verification-validation-planner,required,when validation evidence is authored,development_system;framework_product;target_system_template;target_system_instance,use for validation matrix planning,controlled,implementation_plans/Sys4AI-dev_all_recommendations_implementation_plan.md,pending,2026-07-07,Active runtime verification planner skill binding.
cross_security_reviewer_assurance_case_builder_req,security_safety_privacy_compliance_reviewer,assurance-case-builder,required,when high impact claims need evidence argument,framework_product;target_system_template;target_system_instance,use for assurance claims evidence argument,controlled,implementation_plans/Sys4AI-dev_all_recommendations_implementation_plan.md,pending,2026-07-07,Active runtime assurance case builder skill binding.
cross_runtime_maintenance_planner_evaluation_harness_designer_opt,runtime_maintenance_planner,evaluation-harness-designer,optional,when operational behavior needs regression evaluation,target_system_template;target_system_instance,use for evaluation cadence and probes,controlled,implementation_plans/Sys4AI-dev_all_recommendations_implementation_plan.md,pending,2026-07-07,Active runtime evaluation harness designer skill binding.
cross_verification_engineer_evaluation_harness_designer_opt,verification_engineer,evaluation-harness-designer,optional,when validation needs scenario or rubric design,development_system;framework_product;target_system_template;target_system_instance,use for scenario rubrics and failure probes,controlled,implementation_plans/Sys4AI-dev_all_recommendations_implementation_plan.md,pending,2026-07-07,Active runtime evaluation harness designer skill binding.
cross_svc_documentation_surface_architect_baseline_change_manager_req,svc_documentation_surface_architect,baseline-change-manager,required,when baselines or supersession change,framework_product;target_system_template;target_system_instance,use for baseline and rollback evidence,controlled,implementation_plans/Sys4AI-dev_all_recommendations_implementation_plan.md,pending,2026-07-07,Active runtime baseline change manager skill binding.
cross_technical_requirements_engineer_agentjob_task_packet_author_opt,technical_requirements_engineer,agentjob-task-packet-author,optional,when technical plans need task packet boundaries,framework_product;target_system_template;target_system_instance,use for bounded packet drafting,controlled,implementation_plans/Sys4AI-dev_all_recommendations_implementation_plan.md,pending,2026-07-07,Active runtime AgentJob packet author skill binding.
cross_documentation_librarian_project_ontology_glossary_req,documentation_librarian,project-ontology-and-glossary,required,when controlled terminology is needed,development_system;framework_product,use for glossary ontology and term decisions,controlled,implementation_plans/Sys4AI-dev_all_recommendations_implementation_plan.md,pending,2026-07-07,Active runtime ontology glossary skill binding.
cross_domain_specialist_domain_pack_router_opt,domain_specialist,domain-pack-router,optional,when domain-specific skill routing is needed,target_system_instance,use to route rather than embed domain content in core,controlled,implementation_plans/Sys4AI-dev_all_recommendations_implementation_plan.md,pending,2026-07-07,Active runtime domain pack router skill binding.
cross_system_director_domain_pack_router_opt,system_director,domain-pack-router,optional,when core versus domain-pack boundary is disputed,development_system;framework_product;target_system_template;target_system_instance,use for domain specialization routing decisions,controlled,implementation_plans/Sys4AI-dev_all_recommendations_implementation_plan.md,pending,2026-07-07,Active runtime domain pack router skill binding.
cross_system_architect_interface_integration_discovery_opt,system_architect,interface-and-integration-discovery,optional,when external interfaces or integrations are unclear,framework_product;target_system_template;target_system_instance,use for interface and integration discovery,controlled,implementation_plans/Sys4AI-dev_all_recommendations_implementation_plan.md,pending,2026-07-07,Active runtime interface discovery skill binding.
cross_user_wants_elicitor_requirements_discovery_governor_opt,user_wants_elicitor,requirements-discovery-governor,optional,when discovery readiness must be governed,framework_product;target_system_template;target_system_instance,use before discovery-to-USRD transition,controlled,implementation_plans/Sys4AI-dev_all_recommendations_implementation_plan.md,pending,2026-07-07,Active runtime requirements discovery governor skill binding.
cross_requirements_manager_requirements_discovery_governor_opt,requirements_manager,requirements-discovery-governor,optional,when discovery output moves toward requirements baseline,framework_product;target_system_template;target_system_instance,use to preserve open discovery gaps,controlled,implementation_plans/Sys4AI-dev_all_recommendations_implementation_plan.md,pending,2026-07-07,Active runtime requirements discovery governor skill binding.
