artifact_contract_id,artifact_type,canonical_filename_or_pattern,producer_role_ids,consumer_role_ids,system_layer_scope,authority_default,lifecycle_status,required_sections,validation_contract_id,registry_required,derivative_surfaces,promotion_rule,source_hash,last_validated_at,notes
artifact_completion_receipt,CompletionReceipt,control_records/completions/*.yaml,system_engineer;implementation_initialization_agent;verification_engineer,system_director;all_agents,development_system;framework_product,controlled,current,Changed Artifacts;Validation Evidence;Authority Changes;Next Recommendation,contract_completion_receipt_v0_2,true,configuration_control_wiki,Supersede activated records,pending,pending,Completion receipt control record.
artifact_memory_preflight,MemoryPreflightReceipt,control_records/memory_preflights/*.yaml,context_memory_knowledge_architect;system_engineer,system_director;all_agents,development_system;framework_product,controlled,current,Queries;Canonical Sources Inspected;Registry Rows Inspected;Stale Risks,contract_memory_preflight_receipt,true,configuration_control_wiki,Supersede activated records,pending,pending,Memory preflight control record.
artifact_role_registry,RoleRegistry,registries/role_registry.csv,system_director,all_agents,development_system;framework_product,controlled,current,header;rows,contract_role_registry_row,true,configuration_control_wiki,Controlled registry update,pending,pending,Role registry.
artifact_skill_manifest,SkillManifest,skills/core_skill_manifest.yaml;../.agents/skill_registry/SKILL_REGISTRY.yaml,documentation_librarian;implementation_initialization_agent,all_agents,development_system;framework_product,controlled,current,skills;status;provenance,,true,configuration_control_wiki,Controlled skill governance update,pending,pending,Skill manifest surface.
artifact_validation_contract,ValidationContract,schemas/contracts/*.schema.json,verification_engineer,all_agents,framework_product,controlled,current,$schema;properties;required,,true,validation_contracts_catalog,Controlled contract update,pending,pending,Validation contract.
artifact_generated_configuration_control_wiki,GeneratedConfigurationControlWiki,docs/generated/configuration_control/*.md,documentation_librarian,all_agents,derivative_surface,derivative,current,Authority Notice;Source Rows;Generated Metadata,,true,none,Promotion requires source authority decision,pending,pending,Generated configuration control derivative.
artifact_generated_validation_contracts_catalog,GeneratedValidationContractsCatalog,docs/generated/validation_contracts/*.md,documentation_librarian,all_agents,derivative_surface,derivative,current,Authority Notice;Contract Rows;Generated Metadata,,true,none,Promotion requires source authority decision,pending,pending,Generated validation contracts derivative.
artifact_target_vision,TargetVisionStatement,governance/vision-statement.md,user_wants_elicitor;requirements_manager,requirements_manager;requirements_verifier;system_architect;verification_engineer;runtime_maintenance_planner,target_system_template;target_system_instance,controlled_candidate,current,Metadata;Target System And Subject Layer;Authority And Non-Anthropomorphism Notice;Mission Versus Vision;Future-State Statement;Intended Users And Beneficiaries;Desired Condition And Impact;Time Horizon;Scope Exclusions And Non-Goals;Success Signals;Source Evidence And RDR Candidates;Assumptions Tensions And Open Questions;Approval Principal And Evidence;Independent State Model;Waiver And Baseline Exception;Impact Analysis;Revision Version Hash And Supersession,contract_target_vision_statement,true,target_package;strategic_intent_contract_index,Promote only with accountable human evidence stable VISION ID current hash validation impact review and registered active-version relationships,pending,2026-07-10,Source hash is SHA-256 over LF-normalized UTF-8 Markdown with the source_hash value replaced by pending; structural validation never implies content approval.
artifact_target_core_values,TargetCoreValues,governance/core-values.md,user_wants_elicitor;requirements_manager,requirements_manager;requirements_verifier;system_architect;verification_engineer;runtime_maintenance_planner,target_system_template;target_system_instance,controlled_candidate,current,Metadata And Target Identity;Governance Floor;Stable Value Inventory;Per-Value Commitment And Rationale;Positive And Prohibited Behaviors;Decision Tests;Design And Operational Implications;Testing And Evaluation Implications;Conflict And Precedence Rules;Source Owner And Evidence;Inherited Sys4AI Constraints;Target-Specific Commitments;Known Tensions And Escalation;Downstream Trace;Approval And Review Cadence;Waiver And Baseline Exception;Impact Analysis;Revision Version Hash And Supersession,contract_target_core_values,true,target_package;strategic_intent_contract_index,Promote only with accountable human evidence stable VALUE IDs current hash validation impact review and registered active-version relationships,pending,2026-07-10,Source hash is SHA-256 over LF-normalized UTF-8 Markdown with the source_hash value replaced by pending; expired waivers and model self-approval fail closed.
artifact_execution_transaction,ExecutionTransaction,control_records/execution_transactions/*.yaml,system_director;implementation_initialization_agent,software_engineer;verification_engineer;system_director,development_system;framework_product;target_system_template;target_system_instance,controlled,current,Objective;Source Requirements And Decisions;Subject System And Layer;Runtime Actor;Approval Principal;Execution Authorization;Permission Envelope;Allowed Reads Writes Tools And External Actions;Forbidden Actions;Inputs And Expected Outputs;Validators And Stop Conditions;Host Capability Requirements;State And Continuation Evidence;Cancellation And Escalation;Resume And Closeout Evidence;Rollback And Supersession,contract_execution_transaction,true,configuration_control_wiki,Activate only with current human authorization a current permission envelope verified required capabilities and registered state evidence,pending,2026-07-10,Structural conformance does not authorize execution or prove host capability; proposed records fail closed and active records require evidence.
artifact_bera,BoundedExecutionRequirementsAnnex,BERA.md,bounded_execution_planner,final_system_requirements_packager;implementation_initialization_agent,framework_product;target_system_template;target_system_instance,controlled,current,Execution Profile;State Model;Permission Envelope;Continuation;Cancellation;Escalation;Closeout;Handoff;Stop Conditions,,true,markdown_derivative,Baseline through requirements authority and bind execution only through an authorized transaction,pending,2026-07-10,Portable bounded execution requirements annex; it does not grant execution authority.
