memory_preflight_receipt_id,path,execution_profile,execution_transaction_id,legacy_execution_id,created_at,status,queries_count,hits_count,canonical_inspections_count,stale_risks_count,source_hash,last_validated_at,notes
MEMPREFLIGHT-SFADEV-18-PHASE2-WALKING-SKELETON-PRD-001,control_records/memory_preflights/MEMPREFLIGHT-SFADEV-18-PHASE2-WALKING-SKELETON-PRD-001.yaml,legacy_execution_v0_2,,AJ-SFADEV-18-PHASE2-WALKING-SKELETON-PRD-001,2026-07-08T21:03:21Z,PASS_WITH_WARNINGS,2,14,7,3,pending,2026-07-08T21:04:10Z,Memory preflight receipt for Phase 2 walking skeleton PRD
MEMPREFLIGHT-SFADEV-19-PHASE2-WALKING-SKELETON-PLAN-001,control_records/memory_preflights/MEMPREFLIGHT-SFADEV-19-PHASE2-WALKING-SKELETON-PLAN-001.yaml,legacy_execution_v0_2,,AJ-SFADEV-19-PHASE2-WALKING-SKELETON-PLAN-001,2026-07-08T21:24:57Z,PASS_WITH_WARNINGS,2,12,7,3,pending,2026-07-08T21:25:01Z,Memory preflight receipt for Phase 2 walking skeleton implementation plan
MEMPREFLIGHT-SFADEV-20-WALKING-SKELETON-FLOW-001,control_records/memory_preflights/MEMPREFLIGHT-SFADEV-20-WALKING-SKELETON-FLOW-001.yaml,legacy_execution_v0_2,,AJ-SFADEV-20-WALKING-SKELETON-FLOW-001,2026-07-08T21:39:57Z,PASS_WITH_WARNINGS,2,20,6,3,pending,2026-07-08T21:41:39Z,Memory preflight receipt for Phase 2 walking skeleton flow validator
MEMPREFLIGHT-SFADEV-21-TARGET-PACKAGE-SMOKE-001,control_records/memory_preflights/MEMPREFLIGHT-SFADEV-21-TARGET-PACKAGE-SMOKE-001.yaml,legacy_execution_v0_2,,AJ-SFADEV-21-TARGET-PACKAGE-SMOKE-001,2026-07-08T21:55:57Z,PASS_WITH_WARNINGS,2,20,8,5,pending,2026-07-08T21:56:48Z,Memory preflight receipt for Phase 2 target package smoke surface
MEMPREFLIGHT-SFADEV-22-WALKING-SKELETON-DEMO-001,control_records/memory_preflights/MEMPREFLIGHT-SFADEV-22-WALKING-SKELETON-DEMO-001.yaml,legacy_execution_v0_2,,AJ-SFADEV-22-WALKING-SKELETON-DEMO-001,2026-07-08T22:07:35Z,PASS_WITH_WARNINGS,2,20,10,4,pending,2026-07-08T22:11:45Z,Memory preflight receipt for Phase 2 walking skeleton demo
MEMPREFLIGHT-SFADEV-23-PRD-DECOMPOSITION-STRATEGY-001,control_records/memory_preflights/MEMPREFLIGHT-SFADEV-23-PRD-DECOMPOSITION-STRATEGY-001.yaml,legacy_execution_v0_2,,AJ-SFADEV-23-PRD-DECOMPOSITION-STRATEGY-001,2026-07-08T22:22:08Z,PASS_WITH_WARNINGS,2,20,10,3,pending,2026-07-08T22:31:22Z,Memory preflight receipt for PRD decomposition strategy
MEMPREFLIGHT-SFADEV-24-SUBPRD-DRAFTS-001,control_records/memory_preflights/MEMPREFLIGHT-SFADEV-24-SUBPRD-DRAFTS-001.yaml,legacy_execution_v0_2,,AJ-SFADEV-24-SUBPRD-DRAFTS-001,2026-07-08T22:39:48Z,PASS_WITH_WARNINGS,2,20,12,3,pending,2026-07-08T22:48:29Z,Memory preflight receipt for sub-PRD draft generation.
MEMPREFLIGHT-SFADEV-25-SUBPRD-PROMOTION-001,control_records/memory_preflights/MEMPREFLIGHT-SFADEV-25-SUBPRD-PROMOTION-001.yaml,legacy_execution_v0_2,,AJ-SFADEV-25-SUBPRD-PROMOTION-001,2026-07-08T23:07:39Z,PASS_WITH_WARNINGS,2,20,10,3,pending,2026-07-08T23:18:35Z,Memory preflight receipt for sub-PRD promotion and routing.
MEMPREFLIGHT-SFADEV-26-NEXT-SCOPE-ACCEPTANCE-001,control_records/memory_preflights/MEMPREFLIGHT-SFADEV-26-NEXT-SCOPE-ACCEPTANCE-001.yaml,legacy_execution_v0_2,,AJ-SFADEV-26-NEXT-SCOPE-ACCEPTANCE-001,2026-07-08T23:24:32Z,PASS_WITH_WARNINGS,2,20,10,3,pending,2026-07-08T23:34:30Z,Memory preflight receipt for next-scope final acceptance.
MEMPREFLIGHT-TX-10-ACTIVE-SURFACE-MIGRATION-20260710T135843Z,control_records/memory_preflights/MEMPREFLIGHT-TX-10-ACTIVE-SURFACE-MIGRATION-20260710T135843Z.yaml,portable_execution_transaction_v1,TX-10-ACTIVE-SURFACE-MIGRATION,,2026-07-10T13:58:43Z,PASS_WITH_WARNINGS,2,20,3,1,pending,2026-07-10,Source-first routing evidence; one derivative hit was treated as noncanonical and inspected through registered authority.
MEMPREFLIGHT-TX-11-TRACE-SCHEMA-20260710T142714Z,control_records/memory_preflights/MEMPREFLIGHT-TX-11-TRACE-SCHEMA-20260710T142714Z.yaml,portable_execution_transaction_v1,TX-11-TRACE-SCHEMA,,2026-07-10T14:27:14Z,PASS_WITH_WARNINGS,1,10,3,1,pending,2026-07-10,Source-first routing evidence; one generated validation-catalog hit was rejected as authority and controlled sources were inspected.
MEMPREFLIGHT-TX-12-TRACE-DATA-20260710T145240Z,control_records/memory_preflights/MEMPREFLIGHT-TX-12-TRACE-DATA-20260710T145240Z.yaml,portable_execution_transaction_v1,TX-12-TRACE-DATA,,2026-07-10T14:52:40Z,PASS_WITH_WARNINGS,1,10,7,2,pending,2026-07-10,Source-first TX-12 routing evidence; canonical sources overruled stale or generated memory hits and pending hashes limited freshness claims.
MEMPREFLIGHT-TX-13-VALIDATORS-20260710T151414Z,control_records/memory_preflights/MEMPREFLIGHT-TX-13-VALIDATORS-20260710T151414Z.yaml,portable_execution_transaction_v1,TX-13-VALIDATORS,,2026-07-10T15:14:14Z,PASS_WITH_WARNINGS,3,30,3,1,pending,2026-07-10,Source-first TX-13 routing evidence; canonical sources overruled one generated derivative hit and pending hashes limited freshness claims.
MEMPREFLIGHT-TX-14-PHASE2-20260710T155212Z,control_records/memory_preflights/MEMPREFLIGHT-TX-14-PHASE2-20260710T155212Z.yaml,portable_execution_transaction_v1,TX-14-PHASE2,,2026-07-10T15:52:12Z,PASS_WITH_WARNINGS,3,2,7,2,pending,2026-07-10,Source-first TX-14 routing evidence; live plan decision handoff PRDs registries and Git evidence controlled the addendum route.
MEMPREFLIGHT-TX-15-TARGET-PACKAGE-20260710T165733Z,control_records/memory_preflights/MEMPREFLIGHT-TX-15-TARGET-PACKAGE-20260710T165733Z.yaml,portable_execution_transaction_v1,TX-15-TARGET-PACKAGE,,2026-07-10T16:57:33Z,PASS_WITH_WARNINGS,2,4,8,2,pending,2026-07-10,Source-first TX-15 routing evidence; live plan handoff PRDs validator example registries and system layers controlled scope.
MEMPREFLIGHT-TX-16-WALKING-SKELETON-20260710T172717Z,control_records/memory_preflights/MEMPREFLIGHT-TX-16-WALKING-SKELETON-20260710T172717Z.yaml,portable_execution_transaction_v1,TX-16-WALKING-SKELETON,,2026-07-10T17:27:17Z,PASS_WITH_WARNINGS,1,10,3,1,pending,2026-07-10,Source-first TX-16 routing evidence; live plan handoff walking-skeleton package trace and registered sources controlled scope.
MEMPREFLIGHT-TX-17-SAFETY-EVALUATION-20260710T175106Z,control_records/memory_preflights/MEMPREFLIGHT-TX-17-SAFETY-EVALUATION-20260710T175106Z.yaml,portable_execution_transaction_v1,TX-17-SAFETY-EVALUATION,,2026-07-10T17:51:06Z,PASS_WITH_WARNINGS,1,10,3,1,pending,2026-07-10,Source-first TX-17 routing evidence; live plan decision handoff requirements host role and registry sources overruled absent TX-17 completion memory.
MEMPREFLIGHT-TX-18-HUMAN-APPROVAL-20260710T184803Z,control_records/memory_preflights/MEMPREFLIGHT-TX-18-HUMAN-APPROVAL-20260710T184803Z.yaml,portable_execution_transaction_v1,TX-18-HUMAN-APPROVAL,,2026-07-10T18:48:03Z,PASS_WITH_WARNINGS,1,10,3,1,pending,2026-07-10,Source-first TX-18 routing evidence; live plan PRD TX-17 handoff decision safety and registered sources controlled the approval boundary.
MEMPREFLIGHT-TX-19-MODULES-20260710T193535Z,control_records/memory_preflights/MEMPREFLIGHT-TX-19-MODULES-20260710T193535Z.yaml,portable_execution_transaction_v1,TX-19-MODULES,,2026-07-10T19:35:35Z,PASS_WITH_WARNINGS,1,10,7,1,pending,2026-07-10,Source-first TX-19 routing evidence; live plan handoff execution and module decisions registry provenance and prior draft receipt controlled scope.
MEMPREFLIGHT-TX-20-GENERATED-DOCS-20260711T141224Z,control_records/memory_preflights/MEMPREFLIGHT-TX-20-GENERATED-DOCS-20260711T141224Z.yaml,portable_execution_transaction_v1,TX-20-GENERATED-DOCS,,2026-07-11T14:12:24Z,PASS_WITH_WARNINGS,1,6,5,1,pending,2026-07-11,Source-first TX-20 routing evidence; live plan handoff G-08 decision generators and registries controlled the noncanonical reader scope.
MEMPREFLIGHT-TX-21-FINAL-ACCEPTANCE-20260711T143842Z,control_records/memory_preflights/MEMPREFLIGHT-TX-21-FINAL-ACCEPTANCE-20260711T143842Z.yaml,portable_execution_transaction_v1,TX-21-FINAL-ACCEPTANCE,,2026-07-11T14:38:42Z,PASS_WITH_WARNINGS,1,6,5,1,pending,2026-07-11,Source-first TX-21 routing evidence; live plan handoff host trace safety decisions and registries controlled the final disposition over prior narration.
MEMPREFLIGHT-TX-22-G07-HOST-VERIFICATION-20260711T151753Z,control_records/memory_preflights/MEMPREFLIGHT-TX-22-G07-HOST-VERIFICATION-20260711T151753Z.yaml,portable_execution_transaction_v1,TX-22-G07-HOST-VERIFICATION,,2026-07-11T15:17:53Z,PASS_WITH_WARNINGS,1,10,3,1,pending,2026-07-11,Source-first TX-22 routing evidence; live host profile validator safety plan handoff and registry sources controlled the G-07 probe boundary.
MEMPREFLIGHT-TX-23-EVIDENCE-CLOSURE-PLAN-20260711T155250Z,control_records/memory_preflights/MEMPREFLIGHT-TX-23-EVIDENCE-CLOSURE-PLAN-20260711T155250Z.yaml,portable_execution_transaction_v1,TX-23-EVIDENCE-CLOSURE-PLAN,,2026-07-11T15:52:50Z,PASS_WITH_WARNINGS,1,7,4,2,pending,2026-07-11,Source-first TX-23 routing evidence; live handoff trace semantic review plan system layer and registry sources controlled classification.
MEMPREFLIGHT-TX-24-LOCAL-EVIDENCE-SEMANTIC-REVIEW-20260711T161917Z,control_records/memory_preflights/MEMPREFLIGHT-TX-24-LOCAL-EVIDENCE-SEMANTIC-REVIEW-20260711T161917Z.yaml,portable_execution_transaction_v1,TX-24-LOCAL-EVIDENCE-SEMANTIC-REVIEW,,2026-07-11T16:19:17Z,PASS_WITH_WARNINGS,1,5,5,2,pending,2026-07-11,Source-first TX-24 routing evidence; live gated handoff frozen ledger trace layer registry and domain router controlled the seven-row family.
MEMPREFLIGHT-TX-25-PLAN-INTERPRETATION-20260711T164526Z,control_records/memory_preflights/MEMPREFLIGHT-TX-25-PLAN-INTERPRETATION-20260711T164526Z.yaml,portable_execution_transaction_v1,TX-25-PLAN-INTERPRETATION,,2026-07-11T16:45:26Z,PASS_WITH_WARNINGS,1,10,3,1,pending,2026-07-11,Source-first TX-25 routing evidence; live handoff controlled plan frozen ledger trace and prior decisions govern the 410-row interpretation.
MEMPREFLIGHT-TX-26-LOCAL-EVIDENCE-PYTHON-PACKAGE-20260711T171757Z,control_records/memory_preflights/MEMPREFLIGHT-TX-26-LOCAL-EVIDENCE-PYTHON-PACKAGE-20260711T171757Z.yaml,portable_execution_transaction_v1,TX-26-LOCAL-EVIDENCE-PYTHON-PACKAGE,,2026-07-11T17:17:57Z,PASS_WITH_WARNINGS,4,40,3,1,pending,2026-07-11,Source-first TX-26 routing evidence; live handoff frozen ledger trace Phase 0 requirement and package sources controlled the four-row family.
MEMPREFLIGHT-TX-27-LOCAL-EVIDENCE-YAML-CONTROL-20260711T174814Z,control_records/memory_preflights/MEMPREFLIGHT-TX-27-LOCAL-EVIDENCE-YAML-CONTROL-20260711T174814Z.yaml,portable_execution_transaction_v1,TX-27-LOCAL-EVIDENCE-YAML-CONTROL,,2026-07-11T17:48:14Z,PASS_WITH_WARNINGS,4,8,4,1,pending,2026-07-11,Source-first TX-27 routing evidence; live handoff frozen ledger trace YAML policy and control registry controlled the eleven-row family.
MEMPREFLIGHT-TX-28-LOCAL-EVIDENCE-FORMAT-GOVERNANCE-20260711T181109Z,control_records/memory_preflights/MEMPREFLIGHT-TX-28-LOCAL-EVIDENCE-FORMAT-GOVERNANCE-20260711T181109Z.yaml,portable_execution_transaction_v1,TX-28-LOCAL-EVIDENCE-FORMAT-GOVERNANCE,,2026-07-11T18:11:09Z,PASS_WITH_WARNINGS,3,6,3,1,pending,2026-07-11,Source-first TX-28 routing evidence; live handoff frozen ledger trace format policy registry memory and derivative evidence controlled the ten-row family.
MEMPREFLIGHT-TX-29-LOCAL-EVIDENCE-CSV-REGISTRY-20260711T195006Z,control_records/memory_preflights/MEMPREFLIGHT-TX-29-LOCAL-EVIDENCE-CSV-REGISTRY-20260711T195006Z.yaml,portable_execution_transaction_v1,TX-29-LOCAL-EVIDENCE-CSV-REGISTRY,,2026-07-11T19:50:06Z,PASS_WITH_WARNINGS,2,6,4,1,pending,2026-07-11,Source-first preflight for the bounded five-row CSV registry family with direct canonical and live registry inspection.
