registry_id,path,registry_scope,purpose,owner,authority_status,expected_header,row_id_field,validation_method,promotion_rule,source_hash,last_validated_at,notes
registry_format_profile,registries/format_profile_registry.csv,core,Declare governed core and project-specific format profiles,format_governance,registry_authority,format_id;extension;format_family;primary_role;canonical_roots;derivative_surfaces;registry_required;validator_required;default_authority_class;promotion_rule;secrets_allowed;notes,format_id,make validate-format-profiles,registry_change_transaction,pending,2026-07-11,Format profile extension requires accountable authority.
registry_handoff,registries/handoff_registry.csv,core,Index resumable bounded execution handoffs,execution_governance,registry_authority,handoff_id;path;status;execution_profile;producing_execution_transaction_id;next_execution_transaction_id;producing_legacy_execution_id;next_legacy_execution_id;next_recommended_role;source_ids;supersedes;source_hash;last_validated_at;notes,handoff_id,make validate-handoff-registry,registry_change_transaction,pending,2026-07-11,Handoff navigation does not independently authorize continuation.
registry_local_evidence_execution,registries/local_evidence_execution_registry.csv,core,Bind accepted local verification evidence to frozen closure obligations,evidence_closure_governance,registry_authority,execution_evidence_id;closure_id;trace_id;requirement_id;evidence_family;prior_state;resulting_state;evidence_report_path;implementation_artifacts;validation_evidence;reviewer_role;review_date;status;execution_transaction_id;notes,execution_evidence_id,make validate-local-evidence-execution,registry_change_transaction,pending,2026-07-11,Accepted rows require an authorized bounded transaction.
registry_memory_preflight_receipt,registries/memory_preflight_receipt_registry.csv,core,Index source-first memory preflight receipts,memory_governance,registry_authority,memory_preflight_receipt_id;path;execution_profile;execution_transaction_id;legacy_execution_id;created_at;status;queries_count;hits_count;canonical_inspections_count;stale_risks_count;source_hash;last_validated_at;notes,memory_preflight_receipt_id,make validate-memory-preflight-registry,registry_change_transaction,pending,2026-07-11,Memory receipts navigate to canonical inspections and do not replace them.
registry_object_relationship,registries/object_relationship_registry.csv,core,Represent source control derivative and evidence graph edges,source_authority_governance,registry_authority,relationship_id;subject_id;predicate;object_id;evidence_path;notes,relationship_id,make validate-registry-graph,registry_change_transaction,pending,2026-07-11,Relationships require existing evidence and cannot manufacture authority.
registry_plan_scope_interpretation,registries/plan_scope_interpretation_registry.csv,core,Freeze TX-25 interpretations of future-work plan text,baseline_change_governance,registry_authority,disposition_id;closure_id;trace_id;requirement_id;gap_dimension;retained_trace_state;plan_interpretation;g10_migration_effect;requirement_lifecycle_effect;trace_mutation;waiver_id;decision_id;execution_transaction_id;evidence_report_path;reviewer_role;review_date;status;notes,disposition_id,make validate-plan-interpretation,registry_change_transaction,pending,2026-07-11,TX-25 interpretation bytes are frozen and grant no execution authority.
registry_prd_module,registries/prd_module_registry.csv,core,Register decomposed PRD modules and ownership boundaries,requirements_governance,registry_authority,prd_module_id;path;title;status;subject_layer;authority_scope;owns_requirement_prefixes;references_source_prds;supersedes;source_authority_status;owner_role;validation_status;source_hash;last_validated_at;notes,prd_module_id,make validate-prd-modules,registry_change_transaction,pending,2026-07-11,Derivative module rows do not promote draft modules.
registry_definition,registries/registry_definition_registry.csv,core,Govern CSV registry purpose ownership authority headers validators and promotion,registry_governance,registry_authority,registry_id;path;registry_scope;purpose;owner;authority_status;expected_header;row_id_field;validation_method;promotion_rule;source_hash;last_validated_at;notes,registry_id,make validate-csv-registry-surface,registry_change_transaction,pending,2026-07-11,Project-specific registry additions require an additive governed definition row.
registry_requirement_trace,registries/requirement_trace_registry.csv,core,Trace requirements through implementation validation and semantic evidence,traceability_governance,registry_authority,schema_version;trace_id;requirement_id;requirement_source_id;requirement_lifecycle;applicability_status;coverage_status;capability_status;verification_status;verification_waiver_id;evidence_status;implementation_artifacts;validation_evidence;evidence_paths;semantic_review_owner;semantic_review_date;semantic_review_verdict;supersedes;phase0_selector;phase0_source;legacy_coverage_status;trace_class;semantic_justification;legacy_semantic_review_verdict;phase1_selectors;notes,trace_id,make validate-requirement-trace-migration,registry_change_transaction,pending,2026-07-11,Verification evidence must be exact and waiver fields remain explicit.
registry_role_execution_binding,registries/role_execution_binding_registry.csv,core,Bind roles to permitted transaction surfaces and validators,role_governance,registry_authority,binding_id;role_id;allowed_transaction_types;allowed_reads;allowed_writes;forbidden_actions;required_validators;completion_evidence;expiry_policy;authority_status;owner;supersedes;source_hash;last_validated_at;notes,binding_id,make validate-roles,registry_change_transaction,pending,2026-07-11,Bindings constrain execution and do not expand human authority.
registry_role,registries/role_registry.csv,core,Govern role missions skills outputs and authority,role_governance,registry_authority,role_id;role_name;role_class;system_layer_scope;primary_mission;required_skills;optional_skills;forbidden_skills;primary_outputs;allowed_artifact_classes;may_create_execution_transactions;requires_director_decision;authority_status;owner;supersedes;source_hash;last_validated_at;notes,role_id,make validate-roles,registry_change_transaction,pending,2026-07-11,Role declarations remain subordinate to active transactions.
registry_role_skill_crosswalk,registries/role_skill_crosswalk.csv,core,Map governed roles to required and optional skills,role_governance,registry_authority,crosswalk_id;role_id;skill_id;binding_type;required_when;system_layer_scope;invocation_policy;authority_status;evidence_path;source_hash;last_validated_at;notes,crosswalk_id,make validate-roles,registry_change_transaction,pending,2026-07-11,Crosswalk rows require known roles skills and evidence.
registry_skill_lifecycle_status,registries/skill_lifecycle_status_registry.csv,core,Define controlled skill lifecycle meanings,skill_lifecycle_governance,registry_authority,status_id;status_name;may_execute_runtime;may_be_used_as_authority;requires_provenance;requires_manifest;requires_skill_md;requires_validator;allowed_roots;notes,status_id,make validate-skill-lifecycle,registry_change_transaction,pending,2026-07-11,Lifecycle semantics prevent scaffold surfaces from becoming runtime authority.
registry_skill,registries/skill_registry.csv,core,Register product scaffold skill adapters and provenance,skill_lifecycle_governance,registry_authority,skill_id;local_path;source_repo;source_path;family;adaptation_status;lifecycle_status;last_reviewed;notes,skill_id,make validate-skills,registry_change_transaction,pending,2026-07-11,Product scaffold adapters remain distinct from runtime skills.
registry_source,registries/source_registry.csv,core,Register canonical controlled historical and derivative-draft sources,source_authority_governance,registry_authority,source_id;path;source_type;authority_status;owner;last_reviewed;notes,source_id,make validate-registry-graph,registry_change_transaction,pending,2026-07-11,Source rows are navigation to inspected authority surfaces.
registry_system_layer,registries/system_layer_registry.csv,core,Define development framework target and derivative system layers,system_layer_governance,registry_authority,layer_id;layer_name;layer_type;canonical_roots;mutable_roots;derivative_roots;authority_notes;requires_director_decision_for_mutation;default_validators;owner;source_hash;last_validated_at;notes,layer_id,make validate-system-layers,registry_change_transaction,pending,2026-07-11,Layer classification informs routing but does not grant write authority.
registry_validation_contract,registries/validation_contract_registry.csv,core,Register executable validation contracts and lifecycle,validation_governance,registry_authority,contract_id;path;dialect;target_format;target_artifact_type;target_glob;authority_status;lifecycle_status;owner;validator_command;supersedes;source_hash;last_validated_at;notes,contract_id,make validate-validation-contract-registry,registry_change_transaction,pending,2026-07-11,Contract rows govern structural admissibility only.
