derivative_id,path,derivative_type,source_ids,generation_method,last_generated,status,notes
der_role_skill_surface_engineer,docs/generated/roles/skill_surface_engineer.md,role_governance_page,SRC-REG-ROLES;SRC-REG-ROLE-SKILL-CROSSWALK;SRC-REG-ROLE-EXECUTION-BINDINGS,sys_for_ai.roles:0.1.0,2026-07-07T04:07:48Z,generated_derivative,Generated role governance page for skill_surface_engineer
der_role_software_engineer,docs/generated/roles/software_engineer.md,role_governance_page,SRC-REG-ROLES;SRC-REG-ROLE-SKILL-CROSSWALK;SRC-REG-ROLE-EXECUTION-BINDINGS,sys_for_ai.roles:0.1.0,2026-07-07T04:07:48Z,generated_derivative,Generated role governance page for software_engineer
der_role_svc_documentation_surface_architect,docs/generated/roles/svc_documentation_surface_architect.md,role_governance_page,SRC-REG-ROLES;SRC-REG-ROLE-SKILL-CROSSWALK;SRC-REG-ROLE-EXECUTION-BINDINGS,sys_for_ai.roles:0.1.0,2026-07-07T04:07:48Z,generated_derivative,Generated role governance page for svc_documentation_surface_architect
der_role_system_analyst,docs/generated/roles/system_analyst.md,role_governance_page,SRC-REG-ROLES;SRC-REG-ROLE-SKILL-CROSSWALK;SRC-REG-ROLE-EXECUTION-BINDINGS,sys_for_ai.roles:0.1.0,2026-07-07T04:07:48Z,generated_derivative,Generated role governance page for system_analyst
der_role_system_architect,docs/generated/roles/system_architect.md,role_governance_page,SRC-REG-ROLES;SRC-REG-ROLE-SKILL-CROSSWALK;SRC-REG-ROLE-EXECUTION-BINDINGS,sys_for_ai.roles:0.1.0,2026-07-07T04:07:48Z,generated_derivative,Generated role governance page for system_architect
der_role_system_definition_template_agent,docs/generated/roles/system_definition_template_agent.md,role_governance_page,SRC-REG-ROLES;SRC-REG-ROLE-SKILL-CROSSWALK;SRC-REG-ROLE-EXECUTION-BINDINGS,sys_for_ai.roles:0.1.0,2026-07-07T04:07:48Z,generated_derivative,Generated role governance page for system_definition_template_agent
der_role_system_director,docs/generated/roles/system_director.md,role_governance_page,SRC-REG-ROLES;SRC-REG-ROLE-SKILL-CROSSWALK;SRC-REG-ROLE-EXECUTION-BINDINGS,sys_for_ai.roles:0.1.0,2026-07-07T04:07:48Z,generated_derivative,Generated role governance page for system_director
der_role_system_engineer,docs/generated/roles/system_engineer.md,role_governance_page,SRC-REG-ROLES;SRC-REG-ROLE-SKILL-CROSSWALK;SRC-REG-ROLE-EXECUTION-BINDINGS,sys_for_ai.roles:0.1.0,2026-07-07T04:07:48Z,generated_derivative,Generated role governance page for system_engineer
der_role_technical_requirements_engineer,docs/generated/roles/technical_requirements_engineer.md,role_governance_page,SRC-REG-ROLES;SRC-REG-ROLE-SKILL-CROSSWALK;SRC-REG-ROLE-EXECUTION-BINDINGS,sys_for_ai.roles:0.1.0,2026-07-07T04:07:48Z,generated_derivative,Generated role governance page for technical_requirements_engineer
der_role_user_wants_elicitor,docs/generated/roles/user_wants_elicitor.md,role_governance_page,SRC-REG-ROLES;SRC-REG-ROLE-SKILL-CROSSWALK;SRC-REG-ROLE-EXECUTION-BINDINGS,sys_for_ai.roles:0.1.0,2026-07-07T04:07:48Z,generated_derivative,Generated role governance page for user_wants_elicitor
der_role_validator_engineer,docs/generated/roles/validator_engineer.md,role_governance_page,SRC-REG-ROLES;SRC-REG-ROLE-SKILL-CROSSWALK;SRC-REG-ROLE-EXECUTION-BINDINGS,sys_for_ai.roles:0.1.0,2026-07-07T04:07:48Z,generated_derivative,Generated role governance page for validator_engineer
der_role_verification_engineer,docs/generated/roles/verification_engineer.md,role_governance_page,SRC-REG-ROLES;SRC-REG-ROLE-SKILL-CROSSWALK;SRC-REG-ROLE-EXECUTION-BINDINGS,sys_for_ai.roles:0.1.0,2026-07-07T04:07:48Z,generated_derivative,Generated role governance page for verification_engineer
der_registry_catalog_index,docs/generated/registry_catalog/index.md,governance_registry_catalog_page,SRC-REG-SOURCES;SRC-REG-DERIVATIVES;SRC-REG-OBJECT-RELATIONSHIPS;SRC-REG-CONTROL-RECORDS;SRC-REG-VALIDATION-CONTRACTS;SRC-REG-SYSTEM-LAYERS;SRC-REG-ARTIFACT-CONTRACTS;SRC-REG-ROLES;SRC-PRODUCT-SKILL-REGISTRY;SRC-REG-CORE-SKILL-PROPOSALS;SRC-REG-SKILL-LIFECYCLE;SRC-DERIVATIVE-GENERATION,sys_for_ai.derivative_generation.governance_generated_docs:0.2.0,2026-07-11T14:12:24Z,generated_derivative,Generated registry catalog page for governance navigation
der_system_layers_index,docs/generated/system_layers/index.md,governance_system_layers_page,SRC-REG-SYSTEM-LAYERS;SRC-DERIVATIVE-GENERATION,sys_for_ai.derivative_generation.governance_generated_docs:0.2.0,2026-07-11T14:12:24Z,generated_derivative,Generated system layer summary page
der_artifact_contracts_index,docs/generated/artifact_contracts/index.md,governance_artifact_contracts_page,SRC-REG-ARTIFACT-CONTRACTS;SRC-DERIVATIVE-GENERATION,sys_for_ai.derivative_generation.governance_generated_docs:0.2.0,2026-07-11T14:12:24Z,generated_derivative,Generated artifact contracts summary page
der_core_skills_index,docs/generated/core_skills/index.md,governance_core_skills_page,SRC-PRODUCT-SKILL-REGISTRY;SRC-PRODUCT-CORE-SKILL-MANIFEST;SRC-REG-CORE-SKILL-PROPOSALS;SRC-REG-SKILL-LIFECYCLE;SRC-DERIVATIVE-GENERATION,sys_for_ai.derivative_generation.governance_generated_docs:0.2.0,2026-07-11T14:12:24Z,generated_derivative,Generated core skills summary page
der_role_governance_summary,docs/generated/roles/role-governance-summary.md,governance_role_summary_page,SRC-REG-ROLES;SRC-REG-ROLE-SKILL-CROSSWALK;SRC-REG-ROLE-EXECUTION-BINDINGS;SRC-DERIVATIVE-GENERATION,sys_for_ai.derivative_generation.governance_generated_docs:0.2.0,2026-07-11T14:12:24Z,generated_derivative,Generated role governance summary page
der_walking_skeleton_flow,docs/generated/governance/walking-skeleton-flow.md,walking_skeleton_flow_report,SRC-PRD-P2-STRATEGIC-BASELINE-ADDENDUM;SRC-STRATEGIC-BASELINE-MIGRATION-PLAN;SRC-EXAMPLE-REPO-STEWARD-PACKAGE;SRC-WALKING-SKELETON-FLOW-MODULE;SRC-RDR-PHASE2-WALKING-SKELETON-001;SRC-PRD-P2-WALKING-SKELETON;SRC-P2-WALKING-SKELETON-IMPLEMENTATION-PLAN;SRC-DDR-STRATEGIC-BASELINE-G08-001,sys_for_ai.walking_skeleton:0.3.0,2026-07-11T14:12:24Z,generated_derivative,Generated strategic walking-skeleton active flow lifecycle evidence historical appendix and current gate report
der_repo_steward_agent_package,examples/target_systems/repo_steward_agent_package,target_system_package_smoke,SRC-RDR-PHASE2-WALKING-SKELETON-001;SRC-PRD-P2-WALKING-SKELETON;SRC-P2-WALKING-SKELETON-IMPLEMENTATION-PLAN;SRC-AJ-TARGET-PACKAGE-SMOKE-001;SRC-TARGET-PACKAGE-VALIDATOR;SRC-EXAMPLE-REPO-STEWARD-PACKAGE,manual_package_smoke:0.1.0,2026-07-08T21:56:48Z,derivative_draft,Derivative draft smoke package for repo steward agent sample
der_role_bounded_execution_planner,docs/generated/roles/bounded_execution_planner.md,role_governance_page,SRC-REG-ROLES;SRC-REG-ROLE-SKILL-CROSSWALK;SRC-REG-ROLE-EXECUTION-BINDINGS,sys_for_ai.roles:0.1.0,2026-07-10T13:58:43Z,generated_derivative,Generated role governance page for bounded_execution_planner
der_strategic_intent_contracts,docs/generated/governance/strategic-intent-contracts.md,strategic_intent_contract_index,SRC-REG-ARTIFACT-CONTRACTS;SRC-PRD-P0;SRC-DDR-STRATEGIC-BASELINE-G08-001;SRC-DERIVATIVE-GENERATION,sys_for_ai.derivative_generation.governance_generated_docs:0.2.0,2026-07-11T14:12:24Z,generated_derivative,Owner svc_documentation_surface_architect; supersedes none; source hashes pending by registry policy; deterministic freshness check; strategic intent contract chain with approval and permission boundaries
der_strategic_intent_evidence_graph,docs/generated/governance/strategic-intent-evidence-graph.md,strategic_intent_evidence_graph,SRC-REG-SOURCES;SRC-REG-OBJECT-RELATIONSHIPS;SRC-REG-REQ-TRACE;SRC-PRD-P0;SRC-DDR-STRATEGIC-BASELINE-G08-001;SRC-SAFETY-EVALUATION-PACKET-TX17;SRC-DERIVATIVE-GENERATION,sys_for_ai.derivative_generation.governance_generated_docs:0.2.0,2026-07-11T14:12:24Z,generated_derivative,Owner svc_documentation_surface_architect; supersedes none; source hashes pending by registry policy; deterministic freshness check; preserves independent authority capability verification and evidence states
der_host_capability_profile,docs/generated/governance/host-capability-profile.md,host_capability_profile_summary,SRC-REG-CONFIG-SOURCES;SRC-HOST-PROFILE-CODEX-APP-REFERENCE;SRC-DERIVATIVE-GENERATION,sys_for_ai.derivative_generation.governance_generated_docs:0.2.0,2026-07-11T14:12:24Z,generated_derivative,Owner svc_documentation_surface_architect; supersedes none; source hashes pending by registry policy; deterministic generation epoch retained; accepted mixed G-07 reference-host summary preserves permission production operational and target-runtime boundaries
der_lifecycle_and_patterns,docs/generated/governance/lifecycle-and-patterns.md,lifecycle_and_pattern_summary,SRC-PRD-P0;SRC-REG-REQ-TRACE;SRC-DERIVATIVE-GENERATION,sys_for_ai.derivative_generation.governance_generated_docs:0.2.0,2026-07-11T14:12:24Z,generated_derivative,Owner svc_documentation_surface_architect; supersedes none; source hashes pending by registry policy; deterministic freshness check; lifecycle pattern and maturity summary
der_capability_migration_status,docs/generated/governance/capability-migration-status.md,capability_migration_status_summary,SRC-CONFIG-CAPABILITY-MIGRATION;SRC-REG-REQ-TRACE;SRC-DERIVATIVE-GENERATION,sys_for_ai.derivative_generation.governance_generated_docs:0.2.0,2026-07-11T14:12:24Z,generated_derivative,Owner svc_documentation_surface_architect; supersedes none; source hashes pending by registry policy; deterministic freshness check; retired-runtime migration classification summary
